deckID,number,name,location,color,cmc,manaCost,power,toughness,text,types,subtypes,key,colors,baseColors,splashes,sphere,archetype,powered
250,1,Tinker,MB,Blue,3,{2}{U},NA,NA,"As an additional cost to cast this spell, sacrifice an artifact.
Search your library for an artifact card and put that card onto the battlefield. Then shuffle your library.",Sorcery,NA,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
250,1,Glen Elendra Archmage,MB,Blue,4,{3}{U},2,2,"Flying
{U}, Sacrifice Glen Elendra Archmage: Counter target noncreature spell.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",Creature,Faerie Wizard,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
250,1,Sensei's Divining Top,MB,Colorless,1,{1},NA,NA,"{1}: Look at the top three cards of your library, then put them back in any order.
{T}: Draw a card, then put Sensei's Divining Top on top of its owner's library.",Artifact,NA,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
250,1,Sower of Temptation,MB,Blue,4,{2}{U}{U},2,2,"Flying
When Sower of Temptation enters the battlefield, gain control of target creature for as long as Sower of Temptation remains on the battlefield.",Creature,Faerie Wizard,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
250,1,Animate Dead,MB,Black,2,{1}{B},NA,NA,"Enchant creature card in a graveyard
When Animate Dead enters the battlefield, if it's on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Animate Dead."" Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.
Enchanted creature gets -1/-0.",Enchantment,Aura,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
250,1,Myr Battlesphere,MB,Colorless,7,{7},4,7,"When Myr Battlesphere enters the battlefield, create four 1/1 colorless Myr artifact creature tokens.
Whenever Myr Battlesphere attacks, you may tap X untapped Myr you control. If you do, Myr Battlesphere gets +X/+0 until end of turn and deals X damage to the player or planeswalker it's attacking.",Artifact Creature,Myr Construct,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
250,1,Underground River,MB,Colorless,0,NA,NA,NA,"{T}: Add {C}.
{T}: Add {U} or {B}. Underground River deals 1 damage to you.",Land,NA,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
250,1,Magma Jet,MB,Red,2,{1}{R},NA,NA,Magma Jet deals 2 damage to any target. Scry 2.,Instant,NA,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
250,1,Snapcaster Mage,MB,Blue,2,{1}{U},2,1,"Flash
When Snapcaster Mage enters the battlefield, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)",Creature,Human Wizard,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
250,1,"Daretti, Ingenious Iconoclast",MB,Black Red,3,{1}{B}{R},NA,NA,"+1: Create a 1/1 colorless Construct artifact creature token with defender.
−1: You may sacrifice an artifact. If you do, destroy target artifact or creature.
−6: Choose target artifact card in a graveyard or artifact on the battlefield. Create three tokens that are copies of it.",Planeswalker,Daretti,TGSSAMUMSDSVWKFTBMBCMWCSEBOTJSDEUDSSSDEFSRBCSSIIMM, red blue black, blue black, red,combo control,reanimator artifacts,FALSE
