deckID,deckName,colors,baseColors,splashes,powered,sphere,archetype
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
1,(WUBRG) 5 Color Control 11.6.18.dck, red green blue black white, red blue black, green white,FALSE, control ,
