deckID,number,name,location,color,cmc,manaCost,power,toughness,text,types,subtypes
0,1,Go for the Throat,MB, Black,2,{1}{B},,,Destroy target nonartifact creature., Instant,
0,1,Elvish Mystic,MB, Green,1,{G},1,1,{T}: Add {G}., Creature, Elf Druid
0,1,Mox Diamond,MB,Colorless,0,{0},,,"If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.
{T}: Add one mana of any color.", Artifact,
0,1,Sylvan Advocate,MB, Green,2,{1}{G},2,3,"Vigilance
As long as you control six or more lands, Sylvan Advocate and land creatures you control get +2/+2.", Creature, Elf Druid Ally
0,1,Damnation,MB, Black,4,{2}{B}{B},,,Destroy all creatures. They can't be regenerated., Sorcery,
0,1,Overgrown Tomb,MB,Colorless,0,,,,"({T}: Add {B} or {G}.)
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.", Land, Swamp Forest
0,1,Verdant Catacombs,MB,Colorless,0,,,,"{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle your library.", Land,
0,1,Garruk Relentless,MB, Green,4,{3}{G},,,"When Garruk Relentless has two or fewer loyalty counters on him, transform him.
0: Garruk Relentless deals 3 damage to target creature. That creature deals damage equal to its power to him.
0: Create a 2/2 green Wolf creature token.", Planeswalker, Garruk
0,1,"Nissa, Vastwood Seer",MB, Green,3,{2}{G},2,2,"When Nissa, Vastwood Seer enters the battlefield, you may search your library for a basic Forest card, reveal it, put it into your hand, then shuffle your library.
Whenever a land enters the battlefield under your control, if you control seven or more lands, exile Nissa, then return her to the battlefield transformed under her owner's control.", Creature, Elf Scout
0,1,Dark Ritual,MB, Black,1,{B},,,Add {B}{B}{B}., Instant,
0,1,Ravenous Chupacabra,MB, Black,4,{2}{B}{B},2,2,"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls.", Creature, Beast Horror
0,1,Sinkhole,MB, Black,2,{B}{B},,,Destroy target land., Sorcery,
0,1,Assassin's Trophy,MB, Black Green,2,{B}{G},,,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle their library.", Instant,
0,1,Ophiomancer,MB, Black,3,{2}{B},2,2,"At the beginning of each upkeep, if you control no Snakes, create a 1/1 black Snake creature token with deathtouch.", Creature, Human Shaman
0,1,Tarmogoyf,MB, Green,2,{1}{G},*,1+*,Tarmogoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1., Creature, Lhurgoyf
0,1,Scavenging Ooze,MB, Green,2,{1}{G},2,2,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.", Creature, Ooze
0,1,Bayou,MB,Colorless,0,,,,({T}: Add {B} or {G}.), Land, Swamp Forest
0,5,Forest,MB,Colorless,0,,,,, Land, Forest
0,1,"Nissa, Worldwaker",MB, Green,5,{3}{G}{G},,,"+1: Target land you control becomes a 4/4 Elemental creature with trample. It's still a land.
+1: Untap up to four target Forests.
−7: Search your library for any number of basic land cards, put them onto the battlefield, then shuffle your library. Those lands become 4/4 Elemental creatures with trample. They're still lands.", Planeswalker, Nissa
0,1,"Liliana, the Last Hope",MB, Black,3,{1}{B}{B},,,"+1: Up to one target creature gets -2/-1 until your next turn.
−2: Put the top two cards of your library into your graveyard, then you may return a creature card from your graveyard to your hand.
−7: You get an emblem with ""At the beginning of your end step, create X 2/2 black Zombie creature tokens, where X is two plus the number of Zombies you control.""", Planeswalker, Liliana
0,1,Maelstrom Pulse,MB, Black Green,3,{1}{B}{G},,,Destroy target nonland permanent and all other permanents with the same name as that permanent., Sorcery,
0,6,Swamp,MB,Colorless,0,,,,, Land, Swamp
0,1,Bitterblossom,MB, Black,2,{1}{B},,,"At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.", Tribal Enchantment, Faerie
0,1,Hissing Quagmire,MB,Colorless,0,,,,"Hissing Quagmire enters the battlefield tapped.
{T}: Add {B} or {G}.
{1}{B}{G}: Hissing Quagmire becomes a 2/2 black and green Elemental creature with deathtouch until end of turn. It's still a land.", Land,
0,1,Noble Hierarch,MB, Green,1,{G},0,1,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{T}: Add {G}, {W}, or {U}.", Creature, Human Druid
0,1,Deathrite Shaman,MB, Black Green,1,{B/G},1,2,"{T}: Exile target land card from a graveyard. Add one mana of any color.
{B}, {T}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.
{G}, {T}: Exile target creature card from a graveyard. You gain 2 life.", Creature, Elf Shaman
0,1,Curse of Predation,MB, Green,3,{2}{G},,,"Enchant player
Whenever a creature attacks enchanted player, put a +1/+1 counter on it.", Enchantment, Aura Curse
0,1,Hero's Downfall,MB, Black,3,{1}{B}{B},,,Destroy target creature or planeswalker., Instant,
0,1,Mutavault,MB,Colorless,0,,,,"{T}: Add {C}.
{1}: Mutavault becomes a 2/2 creature with all creature types until end of turn. It's still a land.", Land,
0,1,"Vraska, Golgari Queen",MB, Black Green,4,{2}{B}{G},,,"+2: You may sacrifice another permanent. If you do, you gain 1 life and draw a card.
−3: Destroy target nonland permanent with converted mana cost 3 or less.
−9: You get an emblem with ""Whenever a creature you control deals combat damage to a player, that player loses the game.""", Planeswalker, Vraska
0,1,Duress,MB, Black,1,{B},,,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.", Sorcery,
0,1,Exclusion Mage,SB, Blue,3,{2}{U},2,2,"When Exclusion Mage enters the battlefield, return target creature an opponent controls to its owner's hand.", Creature, Human Wizard
0,1,Kodama's Reach,SB, Green,3,{2}{G},,,"Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library.", Sorcery, Arcane
0,1,Recurring Nightmare,SB, Black,3,{2}{B},,,"Sacrifice a creature, Return Recurring Nightmare to its owner's hand: Return target creature card from your graveyard to the battlefield. Activate this ability only any time you could cast a sorcery.", Enchantment,
0,1,"Rofellos, Llanowar Emissary",SB, Green,2,{G}{G},2,1,{T}: Add {G} for each Forest you control., Creature, Elf Druid
0,1,Fyndhorn Elves,SB, Green,1,{G},1,1,{T}: Add {G} to your mana pool., Creature, Elf Druid
0,1,Land Tax,SB, White,1,{W},,,"At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle your library.", Enchantment,
0,1,Fractured Identity,SB, White Blue,5,{3}{W}{U},,,Exile target nonland permanent. Each player other than its controller creates a token that's a copy of it., Sorcery,
0,1,Through the Breach,SB, Red,5,{4}{R},,,"You may put a creature card from your hand onto the battlefield. That creature gains haste. Sacrifice that creature at the beginning of the next end step.
Splice onto Arcane {2}{R}{R} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)", Instant, Arcane
0,1,"Saheeli, the Gifted",SB, Blue Red,4,{2}{U}{R},,,"+1: Create a 1/1 colorless Servo artifact creature token.
+1: The next spell you cast this turn costs {1} less to cast for each artifact you control as you cast it.
−7: For each artifact you control, create a token that's a copy of it. Those tokens gain haste. Exile those tokens at the beginning of the next end step.
Saheeli, the Gifted can be your commander.", Planeswalker, Saheeli
0,1,Lavaclaw Reaches,SB,Colorless,0,,,,"Lavaclaw Reaches enters the battlefield tapped.
{T}: Add {B} or {R}.
{1}{B}{R}: Until end of turn, Lavaclaw Reaches becomes a 2/2 black and red Elemental creature with ""{X}: This creature gets +X/+0 until end of turn."" It's still a land.", Land,
0,1,Needle Spires,SB,Colorless,0,,,,"Needle Spires enters the battlefield tapped.
{T}: Add {R} or {W}.
{2}{R}{W}: Needle Spires becomes a 2/1 red and white Elemental creature with double strike until end of turn. It's still a land.", Land,
0,1,Show and Tell,SB, Blue,3,{2}{U},,,"Each player may put an artifact, creature, enchantment, or land card from their hand onto the battlefield.", Sorcery,
0,1,Geist of Saint Traft,SB, White Blue,3,{1}{W}{U},2,2,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Whenever Geist of Saint Traft attacks, create a 4/4 white Angel creature token with flying that's tapped and attacking. Exile that token at end of combat.", Creature, Spirit Cleric
0,1,Moat,SB, White,4,{2}{W}{W},,,Creatures without flying can't attack., Enchantment,
0,1,Eureka,SB, Green,4,{2}{G}{G},,,"Starting with you, each player may put a permanent card from their hand onto the battlefield. Repeat this process until no one puts a card onto the battlefield.", Sorcery,
0,1,Thirst for Knowledge,SB, Blue,3,{2}{U},,,Draw three cards. Then discard two cards unless you discard an artifact card., Instant,
1,1,Wasteland,MB,Colorless,0,,,,"{T}: Add {C}.
{T}, Sacrifice Wasteland: Destroy target nonbasic land.", Land,
1,1,Go for the Throat,MB, Black,2,{1}{B},,,Destroy target nonartifact creature., Instant,
