deckID,number,name,location,deckName
1,1,Sensei's Divining Top,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Bloodstained Mire,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Dire Fleet Daredevil,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Mox Diamond,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Condescend,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Damnation,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Bayou,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Battlefield Forge,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Kolaghan's Command,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Sulfurous Springs,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Mind Twist,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Sylvan Library,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Evolving Wilds,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Lingering Souls,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,The Abyss,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Mulldrifter,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Creeping Tar Pit,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Maelstrom Pulse,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Sacred Foundry,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Forbid,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Arid Mesa,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,"Saheeli, the Gifted",MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,City of Brass,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Dreadbore,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,"Liliana, the Last Hope",MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Vendilion Clique,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Ancestral Vision,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Volcanic Island,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,"Nicol Bolas, the Ravager",MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Vampire Nighthawk,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Incinerate,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,"Tasigur, the Golden Fang",MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Chain Lightning,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Jace Beleren,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Coldsteel Heart,MB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Tinker,SB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Dust Bowl,SB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Rishadan Port,SB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,"Brimaz, King of Oreskos",SB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Triskelion,SB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Goblin Guide,SB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Cultivate,SB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Council's Judgment,SB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,"Thalia, Guardian of Thraben",SB,(WUBRG) 5 Color Control 11.6.18.dck
1,1,Hero of Bladehold,SB,(WUBRG) 5 Color Control 11.6.18.dck
2,1,Caves of Koilos,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Godless Shrine,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Scrubland,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Terramorphic Expanse,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Tundra,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Brainstorm,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Condescend,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Land Tax,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Mind Twist,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Ancestral Vision,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Coldsteel Heart,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Mana Leak,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Memory Lapse,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Scroll Rack,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Banishing Light,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Coalition Relic,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Forbid,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Jace Beleren,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Psychatog,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,True-Name Nemesis,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Control Magic,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,"Elspeth, Knight-Errant",MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Supreme Verdict,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Cloudgoat Ranger,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Aetherling,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Catastrophe,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,1,Eternal Dragon,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt
3,1,Champion of the Parish,MB,Abzan (BGW) Aggro
3,1,Figure of Destiny,MB,Abzan (BGW) Aggro
3,1,Skymarcher Aspirant,MB,Abzan (BGW) Aggro
3,1,Dauntless Bodyguard,MB,Abzan (BGW) Aggro
3,1,Mana Tithe,MB,Abzan (BGW) Aggro
3,1,Mardu Woe-Reaper,MB,Abzan (BGW) Aggro
